,Unused triplet IDs,Unguessable text
1,x,in February at the age of 91.
2,x,is a multipurpose power device electronic components
3,x,"(sometimes called Dillard - Hartford - Dillard) Doug Dillard, and Rodney Dillard,"
4,x,for his undergrad and film and television composition program.
5,x,x
6,x,playing 3 matches.
7,1,is a British former comedian and impressionist.
8,2,x
9,2,"at the home of the Legh family, who had an estate close to the in Cheshire and were one of the greatest names"
10,x,x
11,3,"(ワンダーボーイ, Wandā Bōi) Escape (now known as"
12,"4, 6","pronunciation: [la ˈsɛra ðeŋ ɡalseˈɾan], Spanish: Sierra Engarcerán) is a small in the province of Castelló,"
13,2,an Austrian manager and former footballer who played
14,x,"under the Mercury subsidiary and became a number one pop on the Billboard Hot 100 in late , and remained on the charts in early 1970."
15,x,"(MLB) for the Kansas City Royals, Pittsburgh Pirates, Chicago White Sox and Toronto Blue Jays."
16,x,was an Argentinian Jesuit and naturalist.
17,x,MIME Scottish and educator.
18,x,General insurgent leader (UFDD).
19,2,Dutch former
20,5,x
21,x,"حاج عبد الرحمان; Télemly,"
22,x,(K413)
23,5,"RA an English, lecturer on architectural subjects."
24,x,x
25,6,x
26,x,x
27,"3, 8",a Filipino remarkably noted as the first of Dr. José Rizal's novel Noli Me Tangere into
28,x,until it was converted into in 2005.
29,"1, 4",Northern Ireland former
30,x,Norwegian Realism
