,Unused triplet IDs,Unguessable text
1,x,"at 690 meters in the Montafon valley on the Litz river , a tributary of the Ill river"
2,1,"( born May 1 , 1942 ) is a Brazilian politician . He has represented in the Federal Senate since 2011 . Previously , he was a Deputy from 1995 to 1999 ."
3,2,was born to parents who immigrated from Slovakia .
4,x,"( fl . 1612 – 1631 ) was one of the first settlers at the London and Bristol Company 's Cuper 's Cove , colony in Newfoundland , and was the father of the first English child born in Newfoundland and subsequently all of the country."
5,x,"is a genus of longhorn beetles of the subfamily, containing the following:"
6,x,"originally had no food court , only a Burger King and a casual dining restaurant called Annabelle 's . The mall was developed of Cleveland , Ohio and included 936,000 square feet ( 87,000 m ) of space "
7,2,suffered from arteriosclerotic brain disease for several years before he died from a heart attack in California .
8,x,"was born in 1812 in , England , the son of Harry Ferrett and his wife Mary ( née Rabbit ) ."
9,2,"Rating the film 1.5/5 , Veeyen of Nowrunning.com said , is a visual onslaught on the audience from the - Akku Akbar team that takes it by total shock"
10,x,"first single `` Raggare is a Bunch of Motherfuckers '' , that they recorded themselves , was released by Polydor. was the first Swedish punk band to release a record through a major record label ."
11,"1,2,3,4",The manga began serialization by Tomo Takeuchi in Kodansha 's in the December 2011 issue 
12,4,"is a village in Takab Rural District , in the Central District of Dargaz County , Razavi Khorasan Province"
13,"2,3",x
14,"1,2,3,4","Penn State was Leaders Division co-Champion , while Legends Division runner-up Michigan finished with the conference 's best record ."
15,"1,2,3,5","was formed in London from the remnants of a college group called The B-Sides , whose members had included Stuart Goddard , later known as Adam Ant ."
16,"1,2,3,4,5,6","Born in Montreal , Quebec , Blachford played junior hockey for Montreal Mintos in 1898–99 , before graduating to senior-level hockey the following season with Montreal Stirling , for which he played until 1902 "
17,"1,3,4,5,6",was a match for the World Chess Championship between challenger of the United States and defending champion Boris Spassky of the Soviet Union
18,"1,2,3,4","Plus , the CBC announced a record TV audience of more than 5.2 million Canadian viewers for the Grey Cup game between the Montreal Alouettes and the Edmonton Eskimos ."
19,"2,4",x
20,"2,3,4","Roughly three miles ( 5 km ) outside of Prattsburgh , turns to the west , loosely paralleling the line as it winds its way across the hilly , forested northernmost portion of"
21,"1,2,3,4,5,6,7","Voiculescu was born in Pârscov , Buzău County , Romania , to a family of wealthy peasants ."
22,"1,2,3,4,5,6,7,8,9,10","On the other side of the canal , the route enters the town of Gaines before exiting the Albion village limits . At Five Corners , a small hamlet north of Albion , NY 98 intersects the current southern terminus of NY 279 ."
23,"1,2,3,4,5,6,7,8,9","Having entered the Cabinet as Minister of Labour in 1959 , he was promoted to Lord Privy Seal and later became President of the Board of Trade ."
24,"1,2,3,4,5,6,7",It serves as an important connection between Pudong International Airport in Shanghai and the cities of Jiaxing and Huzhou in the province of Zhejiang .
25,"1,2,3,4,5,6,7,8,9,10","In the women 's final , Mirjam Ott of Switzerland defeated Ontario 's Rachel Homan with a score of 8–5 in seven ends ."
26,"2,3,4,5,6,7","precursor band , The Creeping Ritual "
27,"1,2,3,4,5,6,7,8,9","Besides Tulsa and Bradley , Brown , Cincinnati , Houston , Miami ( Ohio ) , Nevada , Old Dominion , Ohio , Richmond , Rider , Utah , UTEP , Valparaiso , Virginia and Washington also participated in the tournament ."
28,"1,2,3,4,5,6,7","[ 1 ] Round one saw the exit of Antrim , Down , Waterford , London , Carlow , Louth , Cavan and Wicklow from the 2006 All-Ireland Senior Football Championship . All-Ireland Football Champions Tyrone were forced to a replay against Louth but Tyrone came out as winners in the end ."
29,"2,3,4,5,6,7,8","NY 17B and NY 55 proceed eastward through the town of, running along the southern shore of White Lake , passing numerous lakeside residences . A short distance later , the routes reach the hamlet of White Lake , coming to an intersection with CR 14 ."
30,"1,2,4,5,6,7,8",University won the tournament . The annual event determines the conference champion of the Division I in college baseball . The tournament winner earns the league 's bid to the 2016 NCAA Division I Baseball Tournament .
