,Unused triplet IDs,Unguessable text
1,x,"Grenadian, who specialized in breaststroke events."
2,x,(Bulgarian: Â - ) is a high-mountain long-distance trail 
3,x,x
4,x,is a pair of tall buildings in the area of London.
5,x,was an American food specializing in the dairy industry.
6,x,"292, in the province of Saskatchewan "
7,x,"is a small heavy water production plant, located in Multan, Punjab, with an original annual capacity of 13 metric tons."
8,1,"(CPPA)  federal law to restrict child pornography on the internet, including virtual child pornography."
9,1,published posthumously in 1936.
10,x,"which, in its broadest sense, is a synonym for anyone in a position of trust and so can refer to any person who holds property, authority, or a of trust or responsibility to transfer the title of ownership to the person named as the new owner, in a trust instrument, called a beneficiary."
11,"1, 3, 4",who made 13 Test match appearances for Wallabies between 1983 and 1987.
12,x,"IBM PC (as a booter), and TI-99/4A."
13,"1, 6","detective novel by, and collected in the omnibus volume Three Aces (Viking 1971)."
14,"1, 2, 5","Frederick, from 2000 to 2005, representing the state of South Australia."
15,"3, 4","in Ruffec, Charente, is a French crime."
16,x,"is an Italian professional racing, who currently rides for UCI Women's Continental Team"
17,x,", in Redlands, California) is a retired soccer who was a member of the United States national soccer team."
18,3,is a lost American silent drama
19,x,"directed the planning grant for two million dollar Theological Exploration of project, served on the National Task Force on Education of the Evangelical served on the National Task Force on Education in America, and was lead grant writer for the Gustavus Academy for Faith, Science, and. She is also the translator and editor of a collection of essays by the Lutheran J.G."
20,x,"was an American from Franklin, Kentucky who became the first to serve in the Kentucky Senate when in November 1949 won a special election to replace her husband, J. Lee Moore, in the legislature after his death."
21,"1, 2, 6, 7","Gujarat, India was an born to a Parsi family, who played 26 first-class matches between 1892 and 1913"
22,"2, 10","Creator: Bohumil Hrabal, Camera: Jiri MacÃ¡k Starring: Rudolf HruÅ¡Ã­nskÃ½,JaromirHanzlÃ­k,Miroslav Stibich, Rudolf HruÅ¡Ã­nskÃ½ ml., Peter Brukner, Eugen Yegorov, Beatrice Holis, Mary SpurnÃ¡, LibuÅ¡e Å afrÃ¡nkovÃ¡, Further information: color, 83 min, comedy, Barrandov Studio, 1983"
23,"6, 7 ",(Italian: Cugini carnali) is a Italian and starring Susan Player
24,"1, 3, 4, 5",from 1910 to 1944.
25,"3, 4, 6",who played outfield for the 1872 and 1875 team of the NAPBBP.
26,"3, 4","Leontyevich (Pskovskiy) was a Russian, known for circumnavigating the on bicycle between 1928 and 1931."
27,6,1969 American
28,"1, 2","Craig is an American filmmaker, musician and former physicist."
29,"1, 2, 5, 6, 9",American comedy
30,x,"Starring as Jeffrey and as Steve, the features cameos by Gregory Jbara, Robert Klein, Kevin Nealon."
